x1,x2
-0.667239692,0.767884878
0.400661518,0.059619787
0.363860955,0.373177663
0.078146349,-0.486273617
0.298390126,-0.553927587
1.027572101,0.387629219
-0.076546027,0.478519136
0.505700925,-0.142281165
-0.758119979,-0.651026738
-0.767969544,-0.596047326
0.93992438,-0.147451908
0.514317184,0.030442192
-0.517150911,-0.123505012
0.312928716,0.480390261
-0.434310814,-0.939292529
-0.086257383,0.404619795
0.340029168,-0.303309944
-0.433267092,0.270024521
-0.765913597,-0.647509073
0.53257864,0.884473519
0.419871089,-0.938835963
-0.453944282,0.089099391
0.901870238,-0.316025762
-0.875417313,0.406396909
0.419094214,0.958714243
-0.05005827,-0.53649441
0.844679427,0.508340781
-0.492036099,0.085510631
-0.749022466,0.660646604
0.874125751,-0.45502523
-0.104523681,-0.530361621
-1.042432097,0.159408446
-1.00756754,0.13796627
0.052616183,-0.948970573
-0.462482678,-0.0468822
0.528590175,-0.159049022
-0.114113521,0.529960713
0.078615243,-0.448948545
-0.459697786,0.345564855
1.008290015,-0.319710872
-0.152641379,0.425111996
0.380860304,0.901223398
-0.399455933,-0.315692788
0.77486722,-0.648529145
-0.371026741,0.871100962
1.067910782,-0.009342364
0.565290303,-0.82762645
-0.246661975,0.451629558
-0.259334757,-0.410127698
-0.802605183,0.546582891
-0.430839854,0.16551904
-0.426563397,-0.896780644
-0.356359328,0.340412037
-0.901523126,-0.515980427
-0.970542249,-0.22467924
0.996946108,0.284568653
-0.17573119,0.49185631
-0.324246155,-1.012860113
0.783645215,-0.563921352
-0.422571695,0.388120582
-0.492557307,0.873951865
0.398926727,0.221129394
-0.526707809,-0.222112541
-0.072101751,-0.46731687
0.170874145,0.468127139
0.194335522,-1.058091833
0.953991293,0.210615277
0.398664035,-0.294269892
0.505290644,0.294439198
-0.338949691,0.895261667
-0.871772812,-0.39656094
-0.151217442,1.015800818
-0.277986004,0.388202901
0.45086324,-0.236069258
-0.381343729,-0.911041619
-0.489004875,0.148798472
0.556002988,0.206546517
-0.790475744,0.594888343
0.563263179,-0.026155915
0.259364901,0.481524756
0.049778344,0.481714354
0.923271138,-0.363426891
0.451660802,-0.430876485
0.683070075,-0.689154752
-0.236231923,0.381568221
-0.122961598,0.485338863
-0.250008446,-0.441879726
-0.65257402,-0.720044393
-0.349202911,0.317758689
0.192245661,0.919297098
0.724672089,-0.674832459
-0.345439513,-0.319601054
-0.474604728,-0.098411458
0.269885537,-0.956575981
-0.264738533,-0.936255732
-0.475422934,0.051618191
0.179582371,1.087738122
0.00795205,-0.609085428
0.072755529,0.995496551
0.466851389,-0.919125248
-0.921364728,0.446182688
-0.303578643,0.535920634
-0.260032329,0.937612255
0.282564197,-0.291390928
0.887831413,0.123252857
-0.312736018,-0.436269891
-0.867920911,0.346761301
1.004690701,-0.388763864
0.222839475,0.496295315
-0.69039833,-0.633075164
0.380059079,0.241371434
1.027694135,0.042242104
-0.879198141,-0.269384978
0.977569854,0.210735363
0.247455727,-0.418280661
-0.013880928,-0.430329614
-0.365188797,-0.003696233
0.29536523,0.351413992
0.484924701,-0.848220663
0.031702661,-1.001633158
-0.038873315,-0.502854415
0.315447012,0.913927112
-1.056158599,-0.302659147
-0.543249477,0.189416347
-0.244023338,-0.339421422
0.895417089,-0.37138317
0.054848381,1.004924557
-0.330833325,-0.298926377
-0.44590194,-0.108553394
-0.320060091,-0.438798177
0.380827332,-0.228510844
0.876029315,-0.548059215
0.236726671,0.533154989
0.068901969,1.025489866
0.123371763,0.461220566
0.545535109,-0.121102138
0.182379212,-0.464363438
0.222269694,-0.450257852
0.179744706,-0.468032742
-0.02701618,-1.059718155
0.150536174,-0.910772886
0.241609235,0.943189834
-0.231109397,0.830562556
0.853059329,0.57633511
0.485628701,-0.143704723
1.042074423,0.086981978
-0.102796434,0.560123002
-0.342400299,0.447937421
0.92471843,-0.163411903
1.092677535,0.123103462
-0.910478363,-0.48045181
-0.526379759,-0.09002712
-0.950845276,-0.217845559
0.492713562,-0.061161319
-0.974469805,-0.016160215
0.852844768,0.56356975
-0.1082963,0.972268485
0.836025355,0.425838078
-0.498834868,-0.030857536
0.841143653,0.311648337
0.324231133,0.362775857
0.781301513,-0.611317135
-0.048537661,1.021559135
-0.513945322,-0.227419947
0.915302043,-0.437627713
-0.459360268,0.839639593
-0.379406194,-0.285003372
0.106919109,0.471854246
0.45333427,-0.021494502
0.295449105,-0.312139993
0.165671221,-0.440508369
-0.707722136,-0.800016125
0.419972771,-0.345622306
-0.475256442,0.11751859
0.410357699,-0.115342995
0.47863922,-0.849063625
-0.087914015,0.513581063
0.296211441,0.975002938
0.145617783,0.417993052
0.212028976,-0.486264919
-0.246564913,0.426033127
-0.575632972,-0.891905709
-0.878969489,0.543127012
0.441261573,-0.229859182
-0.046930992,0.994047317
-0.332459517,0.332812863
-0.153110955,-0.462527592
-0.027055147,-0.487019905
-0.052674567,0.559141052
-0.622378713,0.854668294
0.058003514,0.45014989
0.093611572,-0.49077644
-0.642206531,0.716694675
0.148173061,0.54477663
0.271564991,-0.544793042
0.072286224,0.522807686
-0.426872907,-0.218391232
-0.678696589,0.671593324
0.880870051,0.389834977
0.214204461,-1.028535056
-0.853682225,-0.476858867
-0.697741076,-0.769980014
-0.81018815,-0.533825516
0.331750923,-0.232967775
-0.52001294,-0.964413047
0.398772196,0.017027442
0.887282158,-0.462100527
-0.236838626,-0.411687554
-0.016702022,1.015937938
0.014355465,0.554287764
0.536349235,0.081033773
-0.96259967,-0.509852278
-0.717693047,0.486725029
-0.058216596,-0.377768388
1.015265794,0.097706642
-0.412786233,-0.457639906
0.883470831,0.468913068
-0.88123589,-0.543355018
1.009582554,0.028966665
0.401302143,0.099944655
0.689535165,0.739279025
-0.950286595,0.379559606
1.043981187,-0.077081564
-0.78774059,0.535749481
-0.399730381,-0.308274811
-0.003421073,0.484493509
-0.218630128,-0.963585863
0.954793948,-0.123578599
-0.923437344,0.196643727
-0.490047475,-0.907805863
-0.258717123,-0.441438451
-1.072206504,0.080974186
0.434374384,0.198641937
-0.906464603,0.350306579
-0.490156159,0.143272699
-0.05677114,-0.551607369
0.471686672,0.24788843
-0.933827245,-0.33717955
0.057573345,-1.047426826
-0.440102704,0.266518166
-0.074887858,-0.993335365
-1.037969299,0.002659253
0.356285304,0.387326673
0.408155646,0.040302354
-0.308191911,-0.443234427
-0.427292862,-0.133748805
-0.432704594,0.292881898
